DBN,Grade,Year,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4,School Type,C.NumberTested,C.Mean Scale Score,C.Num Level 1,C.Pct Level 1,C.Num Level 2,C.Pct Level 2,C.Num Level 3,C.Pct Level 3,C.Num Level 4,C.Pct Level 4,C.Num Level 3 and 4,C.Pct Level 3 and 4,Broough,School Name_x,Program Type,Average Class Size,School Name_y,% Female,% Male,% Asian,% Black,% Hispanic,% Other,% White,AvgOfMajor N,AvgOfNoCrim N,AvgOfVio N,schoolname,eng_p_11,aca_p_11,eng_t_11,aca_t_11,eng_s_11,aca_s_11,Funding
01M020,5,2011.0,82.0,687,5,6.1,22,26.8,34,41.5,21,25.6,55,67.1,Public,,,,,,,,,,,,,,,,,P.S. 020 Anna Silver,46.7%,53.3%,28.2%,8.2%,59.8%,1.1%,2.7%,0.33,1.76,0.59,P.S. 020 Anna Silver,8.3,8.6,6.8,7.5,,,3216429.0
01M020,All Grades,2011.0,258.0,682,19,7.4,87,33.7,109,42.2,43,16.7,152,58.9,Public,,,,,,,,,,,,,,,,,P.S. 020 Anna Silver,46.7%,53.3%,28.2%,8.2%,59.8%,1.1%,2.7%,0.33,1.76,0.59,P.S. 020 Anna Silver,8.3,8.6,6.8,7.5,,,3216429.0
01M034,3,2011.0,27.0,708,0,0,0,0,17,63,10,37,27,100,Public,,,,,,,,,,,,,,,,,P.S. 034 Franklin D. Roosevelt,49.4%,50.6%,6.9%,20.6%,68.7%,1.3%,2.5%,0.35,1.09,0.5,P.S. 034 Franklin D. Roosevelt,8.0,8.5,6.8,7.8,6.5,7.4,3065790.0
01M034,4,2011.0,35.0,685,0,0,14,40,14,40,7,20,21,60,Public,,,,,,,,,,,,,,,,,P.S. 034 Franklin D. Roosevelt,49.4%,50.6%,6.9%,20.6%,68.7%,1.3%,2.5%,0.35,1.09,0.5,P.S. 034 Franklin D. Roosevelt,8.0,8.5,6.8,7.8,6.5,7.4,3065790.0
01M034,5,2011.0,37.0,675,2,5.4,15,40.5,16,43.2,4,10.8,20,54.1,Public,,,,,,,,,,,,,,,,,P.S. 034 Franklin D. Roosevelt,49.4%,50.6%,6.9%,20.6%,68.7%,1.3%,2.5%,0.35,1.09,0.5,P.S. 034 Franklin D. Roosevelt,8.0,8.5,6.8,7.8,6.5,7.4,3065790.0
01M034,6,2011.0,44.0,682,2,4.5,9,20.5,24,54.5,9,20.5,33,75,Public,,,,,,,,,,,,,,,,,P.S. 034 Franklin D. Roosevelt,49.4%,50.6%,6.9%,20.6%,68.7%,1.3%,2.5%,0.35,1.09,0.5,P.S. 034 Franklin D. Roosevelt,8.0,8.5,6.8,7.8,6.5,7.4,3065790.0
01M034,7,2011.0,55.0,664,6,10.9,24,43.6,22,40,3,5.5,25,45.5,Public,,,,,,,,,,,,,,,,,P.S. 034 Franklin D. Roosevelt,49.4%,50.6%,6.9%,20.6%,68.7%,1.3%,2.5%,0.35,1.09,0.5,P.S. 034 Franklin D. Roosevelt,8.0,8.5,6.8,7.8,6.5,7.4,3065790.0
01M034,8,2011.0,48.0,646,15,31.3,22,45.8,11,22.9,0,0,11,22.9,Public,,,,,,,,,,,,,,,,,P.S. 034 Franklin D. Roosevelt,49.4%,50.6%,6.9%,20.6%,68.7%,1.3%,2.5%,0.35,1.09,0.5,P.S. 034 Franklin D. Roosevelt,8.0,8.5,6.8,7.8,6.5,7.4,3065790.0
01M034,All Grades,2011.0,246.0,673,25,10.2,84,34.1,104,42.3,33,13.4,137,55.7,Public,,,,,,,,,,,,,,,,,P.S. 034 Franklin D. Roosevelt,49.4%,50.6%,6.9%,20.6%,68.7%,1.3%,2.5%,0.35,1.09,0.5,P.S. 034 Franklin D. Roosevelt,8.0,8.5,6.8,7.8,6.5,7.4,3065790.0
01M063,3,2011.0,23.0,682,0,0,13,56.5,9,39.1,1,4.3,10,43.5,Public,,,,,,,,,,,,,,,,,P.S. 063 William McKinley,42.5%,57.5%,7.2%,18.8%,62.4%,1.1%,10.5%,,,,P.S. 063 William McKinley,8.1,7.9,7.8,8.1,,,1657882.0
01M063,4,2011.0,21.0,696,1,4.8,5,23.8,5,23.8,10,47.6,15,71.4,Public,,,,,,,,,,,,,,,,,P.S. 063 William McKinley,42.5%,57.5%,7.2%,18.8%,62.4%,1.1%,10.5%,,,,P.S. 063 William McKinley,8.1,7.9,7.8,8.1,,,1657882.0
01M063,5,2011.0,33.0,688,3,9.1,8,24.2,10,30.3,12,36.4,22,66.7,Public,,,,,,,,,,,,,,,,,P.S. 063 William McKinley,42.5%,57.5%,7.2%,18.8%,62.4%,1.1%,10.5%,,,,P.S. 063 William McKinley,8.1,7.9,7.8,8.1,,,1657882.0
01M063,All Grades,2011.0,77.0,689,4,5.2,26,33.8,24,31.2,23,29.9,47,61,Public,,,,,,,,,,,,,,,,,P.S. 063 William McKinley,42.5%,57.5%,7.2%,18.8%,62.4%,1.1%,10.5%,,,,P.S. 063 William McKinley,8.1,7.9,7.8,8.1,,,1657882.0
01M064,3,2011.0,33.0,673,9,27.3,14,42.4,10,30.3,0,0,10,30.3,Public,,,,,,,,,,,,,,,,,P.S. 064 Robert Simon,44.4%,55.6%,6.8%,24.5%,62.1%,2.2%,4.3%,,,,P.S. 064 Robert Simon,8.2,8.5,8.3,8.5,,,2274168.0
01M064,4,2011.0,47.0,666,4,8.5,27,57.4,14,29.8,2,4.3,16,34,Public,,,,,,,,,,,,,,,,,P.S. 064 Robert Simon,44.4%,55.6%,6.8%,24.5%,62.1%,2.2%,4.3%,,,,P.S. 064 Robert Simon,8.2,8.5,8.3,8.5,,,2274168.0
01M064,5,2011.0,49.0,677,4,8.2,18,36.7,20,40.8,7,14.3,27,55.1,Public,,,,,,,,,,,,,,,,,P.S. 064 Robert Simon,44.4%,55.6%,6.8%,24.5%,62.1%,2.2%,4.3%,,,,P.S. 064 Robert Simon,8.2,8.5,8.3,8.5,,,2274168.0
01M064,All Grades,2011.0,129.0,672,17,13.2,59,45.7,44,34.1,9,7,53,41.1,Public,,,,,,,,,,,,,,,,,P.S. 064 Robert Simon,44.4%,55.6%,6.8%,24.5%,62.1%,2.2%,4.3%,,,,P.S. 064 Robert Simon,8.2,8.5,8.3,8.5,,,2274168.0
01M110,3,2011.0,69.0,695,0,0,18,26.1,34,49.3,17,24.6,51,73.9,Public,,,,,,,,,,,,,,,,,P.S. 110 Florence Nightingale,49.2%,50.8%,13.1%,14.9%,45.5%,1.6%,24.8%,0.35,1.09,0.5,P.S. 110 Florence Nightingale,7.6,7.7,5.7,6.5,,,2559804.0
01M110,4,2011.0,73.0,697,4,5.5,16,21.9,18,24.7,35,47.9,53,72.6,Public,,,,,,,,,,,,,,,,,P.S. 110 Florence Nightingale,49.2%,50.8%,13.1%,14.9%,45.5%,1.6%,24.8%,0.35,1.09,0.5,P.S. 110 Florence Nightingale,7.6,7.7,5.7,6.5,,,2559804.0
01M110,5,2011.0,53.0,696,0,0,13,24.5,22,41.5,18,34,40,75.5,Public,,,,,,,,,,,,,,,,,P.S. 110 Florence Nightingale,49.2%,50.8%,13.1%,14.9%,45.5%,1.6%,24.8%,0.35,1.09,0.5,P.S. 110 Florence Nightingale,7.6,7.7,5.7,6.5,,,2559804.0
01M110,All Grades,2011.0,195.0,696,4,2.1,47,24.1,74,37.9,70,35.9,144,73.8,Public,,,,,,,,,,,,,,,,,P.S. 110 Florence Nightingale,49.2%,50.8%,13.1%,14.9%,45.5%,1.6%,24.8%,0.35,1.09,0.5,P.S. 110 Florence Nightingale,7.6,7.7,5.7,6.5,,,2559804.0
01M134,3,2011.0,57.0,682,5,8.8,28,49.1,21,36.8,3,5.3,24,42.1,Public,,,,,,,,,,,,,,,,,P.S. 134 Henrietta Szold,52.8%,47.2%,25.3%,19.7%,53.9%,0.3%,0.8%,,,,P.S. 134 Henrietta Szold,8.0,7.9,6.5,7.3,,,2243799.0
01M134,4,2011.0,40.0,687,1,2.5,11,27.5,19,47.5,9,22.5,28,70,Public,,,,,,,,,,,,,,,,,P.S. 134 Henrietta Szold,52.8%,47.2%,25.3%,19.7%,53.9%,0.3%,0.8%,,,,P.S. 134 Henrietta Szold,8.0,7.9,6.5,7.3,,,2243799.0
01M134,5,2011.0,59.0,680,5,8.5,15,25.4,34,57.6,5,8.5,39,66.1,Public,,,,,,,,,,,,,,,,,P.S. 134 Henrietta Szold,52.8%,47.2%,25.3%,19.7%,53.9%,0.3%,0.8%,,,,P.S. 134 Henrietta Szold,8.0,7.9,6.5,7.3,,,2243799.0
01M134,All Grades,2011.0,156.0,683,11,7.1,54,34.6,74,47.4,17,10.9,91,58.3,Public,,,,,,,,,,,,,,,,,P.S. 134 Henrietta Szold,52.8%,47.2%,25.3%,19.7%,53.9%,0.3%,0.8%,,,,P.S. 134 Henrietta Szold,8.0,7.9,6.5,7.3,,,2243799.0
01M137,3,2011.0,35.0,673,7,20,14,40,11,31.4,3,8.6,14,40,Public,,,,,,,,,,,,,,,,,P.S. 137 John L. Bernstein,49.6%,50.4%,17.2%,26.7%,54.3%,0.0%,1.7%,,,,P.S. 137 John L. Bernstein,8.0,8.2,6.1,6.9,,,1800663.0
01M137,4,2011.0,28.0,666,4,14.3,10,35.7,11,39.3,3,10.7,14,50,Public,,,,,,,,,,,,,,,,,P.S. 137 John L. Bernstein,49.6%,50.4%,17.2%,26.7%,54.3%,0.0%,1.7%,,,,P.S. 137 John L. Bernstein,8.0,8.2,6.1,6.9,,,1800663.0
01M137,5,2011.0,26.0,674,3,11.5,11,42.3,8,30.8,4,15.4,12,46.2,Public,,,,,,,,,,,,,,,,,P.S. 137 John L. Bernstein,49.6%,50.4%,17.2%,26.7%,54.3%,0.0%,1.7%,,,,P.S. 137 John L. Bernstein,8.0,8.2,6.1,6.9,,,1800663.0
01M137,All Grades,2011.0,89.0,671,14,15.7,35,39.3,30,33.7,10,11.2,40,44.9,Public,,,,,,,,,,,,,,,,,P.S. 137 John L. Bernstein,49.6%,50.4%,17.2%,26.7%,54.3%,0.0%,1.7%,,,,P.S. 137 John L. Bernstein,8.0,8.2,6.1,6.9,,,1800663.0
01M140,3,2011.0,25.0,668,9,36,13,52,2,8,1,4,3,12,Public,,,,,,,,,,,,,,,,,P.S. 140 Nathan Straus,48.9%,51.1%,3.5%,14.1%,80.1%,0.5%,1.8%,0.35,1.09,0.5,P.S. 140 Nathan Straus,8.1,8.4,6.3,7.3,7.5,8.0,2474219.0
01M140,4,2011.0,24.0,690,0,0,4,16.7,16,66.7,4,16.7,20,83.3,Public,,,,,,,,,,,,,,,,,P.S. 140 Nathan Straus,48.9%,51.1%,3.5%,14.1%,80.1%,0.5%,1.8%,0.35,1.09,0.5,P.S. 140 Nathan Straus,8.1,8.4,6.3,7.3,7.5,8.0,2474219.0
01M140,5,2011.0,35.0,660,6,17.1,22,62.9,5,14.3,2,5.7,7,20,Public,,,,,,,,,,,,,,,,,P.S. 140 Nathan Straus,48.9%,51.1%,3.5%,14.1%,80.1%,0.5%,1.8%,0.35,1.09,0.5,P.S. 140 Nathan Straus,8.1,8.4,6.3,7.3,7.5,8.0,2474219.0
01M140,6,2011.0,64.0,666,6,9.4,32,50,23,35.9,3,4.7,26,40.6,Public,,,,,,,,,,,,,,,,,P.S. 140 Nathan Straus,48.9%,51.1%,3.5%,14.1%,80.1%,0.5%,1.8%,0.35,1.09,0.5,P.S. 140 Nathan Straus,8.1,8.4,6.3,7.3,7.5,8.0,2474219.0
01M140,7,2011.0,53.0,667,5,9.4,21,39.6,22,41.5,5,9.4,27,50.9,Public,,,,,,,,,,,,,,,,,P.S. 140 Nathan Straus,48.9%,51.1%,3.5%,14.1%,80.1%,0.5%,1.8%,0.35,1.09,0.5,P.S. 140 Nathan Straus,8.1,8.4,6.3,7.3,7.5,8.0,2474219.0
01M140,8,2011.0,61.0,665,1,1.6,43,70.5,17,27.9,0,0,17,27.9,Public,,,,,,,,,,,,,,,,,P.S. 140 Nathan Straus,48.9%,51.1%,3.5%,14.1%,80.1%,0.5%,1.8%,0.35,1.09,0.5,P.S. 140 Nathan Straus,8.1,8.4,6.3,7.3,7.5,8.0,2474219.0
01M140,All Grades,2011.0,262.0,667,27,10.3,135,51.5,85,32.4,15,5.7,100,38.2,Public,,,,,,,,,,,,,,,,,P.S. 140 Nathan Straus,48.9%,51.1%,3.5%,14.1%,80.1%,0.5%,1.8%,0.35,1.09,0.5,P.S. 140 Nathan Straus,8.1,8.4,6.3,7.3,7.5,8.0,2474219.0
01M142,3,2011.0,56.0,688,2,3.6,21,37.5,26,46.4,7,12.5,33,58.9,Public,,,,,,,,,,,,,,,,,P.S. 142 Amalia Castro,51.9%,48.1%,6.3%,13.5%,75.3%,1.6%,3.3%,,,,P.S. 142 Amalia Castro,8.1,8.3,7.8,8.1,,,2454488.0
01M142,4,2011.0,59.0,669,4,6.8,30,50.8,24,40.7,1,1.7,25,42.4,Public,,,,,,,,,,,,,,,,,P.S. 142 Amalia Castro,51.9%,48.1%,6.3%,13.5%,75.3%,1.6%,3.3%,,,,P.S. 142 Amalia Castro,8.1,8.3,7.8,8.1,,,2454488.0
01M142,5,2011.0,71.0,673,6,8.5,28,39.4,31,43.7,6,8.5,37,52.1,Public,,,,,,,,,,,,,,,,,P.S. 142 Amalia Castro,51.9%,48.1%,6.3%,13.5%,75.3%,1.6%,3.3%,,,,P.S. 142 Amalia Castro,8.1,8.3,7.8,8.1,,,2454488.0
01M142,All Grades,2011.0,186.0,676,12,6.5,79,42.5,81,43.5,14,7.5,95,51.1,Public,,,,,,,,,,,,,,,,,P.S. 142 Amalia Castro,51.9%,48.1%,6.3%,13.5%,75.3%,1.6%,3.3%,,,,P.S. 142 Amalia Castro,8.1,8.3,7.8,8.1,,,2454488.0
01M184,3,2011.0,63.0,707,0,0,4,6.3,29,46,30,47.6,59,93.7,Public,,,,,,,,,,,,,,,,,P.S. 184m Shuang Wen,49.6%,50.4%,80.6%,4.2%,5.4%,0.6%,9.2%,0.33,1.76,0.59,P.S. 184 Shuang Wen,8.0,8.0,7.2,8.1,7.2,7.7,3002823.0
01M184,4,2011.0,69.0,729,0,0,0,0,10,14.5,59,85.5,69,100,Public,,,,,,,,,,,,,,,,,P.S. 184m Shuang Wen,49.6%,50.4%,80.6%,4.2%,5.4%,0.6%,9.2%,0.33,1.76,0.59,P.S. 184 Shuang Wen,8.0,8.0,7.2,8.1,7.2,7.7,3002823.0
01M184,5,2011.0,67.0,731,0,0,1,1.5,8,11.9,58,86.6,66,98.5,Public,,,,,,,,,,,,,,,,,P.S. 184m Shuang Wen,49.6%,50.4%,80.6%,4.2%,5.4%,0.6%,9.2%,0.33,1.76,0.59,P.S. 184 Shuang Wen,8.0,8.0,7.2,8.1,7.2,7.7,3002823.0
01M184,6,2011.0,54.0,729,0,0,0,0,4,7.4,50,92.6,54,100,Public,,,,,,,,,,,,,,,,,P.S. 184m Shuang Wen,49.6%,50.4%,80.6%,4.2%,5.4%,0.6%,9.2%,0.33,1.76,0.59,P.S. 184 Shuang Wen,8.0,8.0,7.2,8.1,7.2,7.7,3002823.0
01M184,7,2011.0,48.0,731,0,0,0,0,2,4.2,46,95.8,48,100,Public,,,,,,,,,,,,,,,,,P.S. 184m Shuang Wen,49.6%,50.4%,80.6%,4.2%,5.4%,0.6%,9.2%,0.33,1.76,0.59,P.S. 184 Shuang Wen,8.0,8.0,7.2,8.1,7.2,7.7,3002823.0
01M184,8,2011.0,49.0,727,0,0,0,0,5,10.2,44,89.8,49,100,Public,,,,,,,,,,,,,,,,,P.S. 184m Shuang Wen,49.6%,50.4%,80.6%,4.2%,5.4%,0.6%,9.2%,0.33,1.76,0.59,P.S. 184 Shuang Wen,8.0,8.0,7.2,8.1,7.2,7.7,3002823.0
01M184,All Grades,2011.0,350.0,726,0,0,5,1.4,58,16.6,287,82,345,98.6,Public,,,,,,,,,,,,,,,,,P.S. 184m Shuang Wen,49.6%,50.4%,80.6%,4.2%,5.4%,0.6%,9.2%,0.33,1.76,0.59,P.S. 184 Shuang Wen,8.0,8.0,7.2,8.1,7.2,7.7,3002823.0
01M188,3,2011.0,27.0,677,6,22.2,10,37,8,29.6,3,11.1,11,40.7,Public,,,,,,,,,,,,,,,,,P.S. 188 The Island School,47.4%,52.6%,1.2%,30.2%,64.1%,0.2%,4.2%,,,,P.S. 188 The Island School,8.2,7.9,5.7,6.4,7.0,7.5,2476121.0
01M188,4,2011.0,30.0,677,2,6.7,7,23.3,17,56.7,4,13.3,21,70,Public,,,,,,,,,,,,,,,,,P.S. 188 The Island School,47.4%,52.6%,1.2%,30.2%,64.1%,0.2%,4.2%,,,,P.S. 188 The Island School,8.2,7.9,5.7,6.4,7.0,7.5,2476121.0
01M188,5,2011.0,46.0,672,4,8.7,18,39.1,20,43.5,4,8.7,24,52.2,Public,,,,,,,,,,,,,,,,,P.S. 188 The Island School,47.4%,52.6%,1.2%,30.2%,64.1%,0.2%,4.2%,,,,P.S. 188 The Island School,8.2,7.9,5.7,6.4,7.0,7.5,2476121.0
01M188,6,2011.0,48.0,676,7,14.6,14,29.2,17,35.4,10,20.8,27,56.3,Public,,,,,,,,,,,,,,,,,P.S. 188 The Island School,47.4%,52.6%,1.2%,30.2%,64.1%,0.2%,4.2%,,,,P.S. 188 The Island School,8.2,7.9,5.7,6.4,7.0,7.5,2476121.0
01M188,7,2011.0,49.0,668,3,6.1,27,55.1,10,20.4,9,18.4,19,38.8,Public,,,,,,,,,,,,,,,,,P.S. 188 The Island School,47.4%,52.6%,1.2%,30.2%,64.1%,0.2%,4.2%,,,,P.S. 188 The Island School,8.2,7.9,5.7,6.4,7.0,7.5,2476121.0
01M188,8,2011.0,49.0,658,10,20.4,26,53.1,10,20.4,3,6.1,13,26.5,Public,,,,,,,,,,,,,,,,,P.S. 188 The Island School,47.4%,52.6%,1.2%,30.2%,64.1%,0.2%,4.2%,,,,P.S. 188 The Island School,8.2,7.9,5.7,6.4,7.0,7.5,2476121.0
01M188,All Grades,2011.0,249.0,670,32,12.9,102,41,82,32.9,33,13.3,115,46.2,Public,,,,,,,,,,,,,,,,,P.S. 188 The Island School,47.4%,52.6%,1.2%,30.2%,64.1%,0.2%,4.2%,,,,P.S. 188 The Island School,8.2,7.9,5.7,6.4,7.0,7.5,2476121.0
01M292,6,2011.0,31.0,644,12,38.7,13,41.9,4,12.9,2,6.5,6,19.4,Public,,,,,,,,,,,,,,,,,Henry Street School for International Studies,40.4%,59.6%,12.5%,28.1%,56.9%,0.4%,2.0%,,,,Henry Street School for International Studies,7.4,7.6,6.1,6.5,6.1,6.7,2838073.0
01M292,7,2011.0,36.0,654,5,13.9,20,55.6,7,19.4,4,11.1,11,30.6,Public,,,,,,,,,,,,,,,,,Henry Street School for International Studies,40.4%,59.6%,12.5%,28.1%,56.9%,0.4%,2.0%,,,,Henry Street School for International Studies,7.4,7.6,6.1,6.5,6.1,6.7,2838073.0
01M292,8,2011.0,49.0,650,15,30.6,25,51,7,14.3,2,4.1,9,18.4,Public,,,,,,,,,,,,,,,,,Henry Street School for International Studies,40.4%,59.6%,12.5%,28.1%,56.9%,0.4%,2.0%,,,,Henry Street School for International Studies,7.4,7.6,6.1,6.5,6.1,6.7,2838073.0
01M292,All Grades,2011.0,116.0,650,32,27.6,58,50,18,15.5,8,6.9,26,22.4,Public,,,,,,,,,,,,,,,,,Henry Street School for International Studies,40.4%,59.6%,12.5%,28.1%,56.9%,0.4%,2.0%,,,,Henry Street School for International Studies,7.4,7.6,6.1,6.5,6.1,6.7,2838073.0
01M301,6,2011.0,45.0,661,5,11.1,27,60,11,24.4,2,4.4,13,28.9,Public,,,,,,,,,,,,,,,,,"Technology, Arts, and Sciences Studio",45.2%,54.8%,9.1%,24.7%,58.6%,1.6%,5.9%,,,,"Technology, Arts, and Sciences Studio",7.4,7.6,8.5,8.0,6.4,7.0,1426640.0
01M301,7,2011.0,44.0,657,9,20.5,15,34.1,15,34.1,5,11.4,20,45.5,Public,,,,,,,,,,,,,,,,,"Technology, Arts, and Sciences Studio",45.2%,54.8%,9.1%,24.7%,58.6%,1.6%,5.9%,,,,"Technology, Arts, and Sciences Studio",7.4,7.6,8.5,8.0,6.4,7.0,1426640.0
01M301,8,2011.0,76.0,663,11,14.5,39,51.3,23,30.3,3,3.9,26,34.2,Public,,,,,,,,,,,,,,,,,"Technology, Arts, and Sciences Studio",45.2%,54.8%,9.1%,24.7%,58.6%,1.6%,5.9%,,,,"Technology, Arts, and Sciences Studio",7.4,7.6,8.5,8.0,6.4,7.0,1426640.0
01M301,All Grades,2011.0,165.0,661,25,15.2,81,49.1,49,29.7,10,6.1,59,35.8,Public,,,,,,,,,,,,,,,,,"Technology, Arts, and Sciences Studio",45.2%,54.8%,9.1%,24.7%,58.6%,1.6%,5.9%,,,,"Technology, Arts, and Sciences Studio",7.4,7.6,8.5,8.0,6.4,7.0,1426640.0
01M315,3,2011.0,26.0,698,0,0,7,26.9,9,34.6,10,38.5,19,73.1,Public,,,,,,,,,,,,,,,,,The East Village Community School,41.0%,59.0%,8.5%,13.2%,31.6%,9.4%,37.3%,,,,The East Village Community School,8.8,8.7,8.3,8.2,,,1357198.0
01M315,4,2011.0,21.0,699,0,0,2,9.5,14,66.7,5,23.8,19,90.5,Public,,,,,,,,,,,,,,,,,The East Village Community School,41.0%,59.0%,8.5%,13.2%,31.6%,9.4%,37.3%,,,,The East Village Community School,8.8,8.7,8.3,8.2,,,1357198.0
01M315,5,2011.0,12.0,682,1,8.3,4,33.3,4,33.3,3,25,7,58.3,Public,,,,,,,,,,,,,,,,,The East Village Community School,41.0%,59.0%,8.5%,13.2%,31.6%,9.4%,37.3%,,,,The East Village Community School,8.8,8.7,8.3,8.2,,,1357198.0
01M315,All Grades,2011.0,59.0,695,1,1.7,13,22,27,45.8,18,30.5,45,76.3,Public,,,,,,,,,,,,,,,,,The East Village Community School,41.0%,59.0%,8.5%,13.2%,31.6%,9.4%,37.3%,,,,The East Village Community School,8.8,8.7,8.3,8.2,,,1357198.0
01M332,6,2011.0,27.0,649,9,33.3,15,55.6,3,11.1,0,0,3,11.1,Public,,,,,,,,,,,,,,,,,University Neighborhood Middle School,44.8%,55.2%,1.7%,25.9%,71.6%,0.0%,0.9%,,,,University Neighborhood Middle School,7.8,8.0,8.5,8.8,7.0,8.1,1116171.0
01M332,7,2011.0,29.0,647,7,24.1,18,62.1,4,13.8,0,0,4,13.8,Public,,,,,,,,,,,,,,,,,University Neighborhood Middle School,44.8%,55.2%,1.7%,25.9%,71.6%,0.0%,0.9%,,,,University Neighborhood Middle School,7.8,8.0,8.5,8.8,7.0,8.1,1116171.0
01M332,8,2011.0,47.0,652,7,14.9,24,51.1,16,34,0,0,16,34,Public,,,,,,,,,,,,,,,,,University Neighborhood Middle School,44.8%,55.2%,1.7%,25.9%,71.6%,0.0%,0.9%,,,,University Neighborhood Middle School,7.8,8.0,8.5,8.8,7.0,8.1,1116171.0
01M332,All Grades,2011.0,103.0,650,23,22.3,57,55.3,23,22.3,0,0,23,22.3,Public,,,,,,,,,,,,,,,,,University Neighborhood Middle School,44.8%,55.2%,1.7%,25.9%,71.6%,0.0%,0.9%,,,,University Neighborhood Middle School,7.8,8.0,8.5,8.8,7.0,8.1,1116171.0
01M345,6,2011.0,80.0,667,12,15,35,43.8,27,33.8,6,7.5,33,41.3,Public,,,,,,,,,,,,,,,,,"Collaborative Academy of Science, Technology, & La",45.4%,54.6%,15.3%,18.3%,63.0%,0.4%,3.1%,,,,"Collaborative Academy of Science, Technology, & La",7.6,7.7,6.0,6.5,7.0,7.6,1729284.0
